Season,Draft position,Team,Player,Position type,Player ID,Simple Position,G,GS,MP,FG,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,eFG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2004,43,NYK,Trevor Ariza,2nd round,2772,Forward,37.125,7.052083333,11.26666667,1.436458333,3.259375,0.427395833,0.157291667,0.542708333,0.152552083,1.283333333,2.713541667,0.451291667,0.448052083,0.679166667,0.6306875,0.982291667,0.763541667,1.470833333,2.244791667,0.54375,0.336458333,0.24375,0.544791667,1.261458333,3.709375,10.884375,0.150583333,0.483739583,0.324614583,7.789583333,14.79375,11.26666667,7.5125,1.484375,1.652083333,12.89791667,17.61979167,0.344791667,0.53125,0.877083333,0.051552083,-3.160416667,-0.758333333,-3.930208333,0.032291667
2004,44,NOH,Tim Pickett,2nd round,2773,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2004,45,CHA,Bernard Robinson,2nd round,2774,Guard,37.62626263,5.919191919,12.01010101,1.506060606,3.841414141,0.384838384,0.373737374,1.160606061,0.272030303,1.135353535,2.680808081,0.41530303,0.429373737,0.667676768,0.695828283,0.895959596,0.341414141,1.016161616,1.346464646,1.317171717,0.432323232,0.102020202,0.825252525,1.06969697,4.046464646,9.103030303,0.294212121,0.466222222,0.239050505,3.513131313,10.12222222,6.809090909,16.66464646,1.881818182,0.635353535,17.05555556,19.99191919,0.026262626,0.390909091,0.42020202,-0.001575758,-3.419191919,-1.670707071,-5.095959596,-0.174747475
2004,46,POR,Ha Seung-Jin,2nd round,2775,Big,30.41860465,4.325581395,8.151162791,0.876744186,1.962790698,0.391232558,0.01627907,0.055813953,0.017627907,0.860465116,1.904651163,0.396581395,0.393697674,0.48372093,0.448581395,0.837209302,0.762790698,1.176744186,1.930232558,0.209302326,0.188372093,0.31627907,0.455813953,1.337209302,2.241860465,7.441860465,0.024116279,0.415976744,0.432930233,10.29302326,16.10465116,13.18604651,3.923255814,1.386046512,2.760465116,15.6255814,14.81162791,0.125581395,0.295348837,0.423255814,0.014883721,-5.355813953,-0.472093023,-5.83255814,-0.155813953
2004,47,MIA,Pape Sow,2nd round,2776,Big,30.41860465,4.325581395,8.151162791,0.876744186,1.962790698,0.391232558,0.01627907,0.055813953,0.017627907,0.860465116,1.904651163,0.396581395,0.393697674,0.48372093,0.448581395,0.837209302,0.762790698,1.176744186,1.930232558,0.209302326,0.188372093,0.31627907,0.455813953,1.337209302,2.241860465,7.441860465,0.024116279,0.415976744,0.432930233,10.29302326,16.10465116,13.18604651,3.923255814,1.386046512,2.760465116,15.6255814,14.81162791,0.125581395,0.295348837,0.423255814,0.014883721,-5.355813953,-0.472093023,-5.83255814,-0.155813953
2004,48,SAC,Ricky Minard,2nd round,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2004,49,MEM,Sergei Lishouk,2nd round,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2004,50,DAL,Vassilis Spanoulis,2nd round,2779,Guard,37.62626263,5.919191919,12.01010101,1.506060606,3.841414141,0.384838384,0.373737374,1.160606061,0.272030303,1.135353535,2.680808081,0.41530303,0.429373737,0.667676768,0.695828283,0.895959596,0.341414141,1.016161616,1.346464646,1.317171717,0.432323232,0.102020202,0.825252525,1.06969697,4.046464646,9.103030303,0.294212121,0.466222222,0.239050505,3.513131313,10.12222222,6.809090909,16.66464646,1.881818182,0.635353535,17.05555556,19.99191919,0.026262626,0.390909091,0.42020202,-0.001575758,-3.419191919,-1.670707071,-5.095959596,-0.174747475
2004,51,NJN,Christian Drejer,2nd round,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2004,52,SAS,Romain Sato,2nd round,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2004,53,MIA,Matt Freije,2nd round,2782,Forward,37.125,7.052083333,11.26666667,1.436458333,3.259375,0.427395833,0.157291667,0.542708333,0.152552083,1.283333333,2.713541667,0.451291667,0.448052083,0.679166667,0.6306875,0.982291667,0.763541667,1.470833333,2.244791667,0.54375,0.336458333,0.24375,0.544791667,1.261458333,3.709375,10.884375,0.150583333,0.483739583,0.324614583,7.789583333,14.79375,11.26666667,7.5125,1.484375,1.652083333,12.89791667,17.61979167,0.344791667,0.53125,0.877083333,0.051552083,-3.160416667,-0.758333333,-3.930208333,0.032291667
2004,54,DET,Rickey Paulding,2nd round,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2004,55,HOU,Luis Flores,2nd round,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2004,56,LAL,Marcus Douthit,2nd round,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2004,57,SAS,Sergei Karaulov,2nd round,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2004,58,MIN,Blake Stepp,2nd round,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2004,59,IND,Rashad Wright,2nd round,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003,1,CLE,LeBron James,Top 3,2544,Forward,70.26315789,36.47368421,25.66315789,4.315789474,9.589473684,0.447421053,0.305263158,1.042105263,0.197631579,4.010526316,8.552631579,0.464789474,0.463315789,2.205263158,0.704842105,3.042105263,1.589473684,3.5,5.078947368,1.515789474,0.726315789,0.8,1.621052632,2.231578947,11.14210526,14.16315789,0.113315789,0.503210526,0.316105263,7.352631579,15.95789474,11.62105263,9.105263158,1.489473684,2.257894737,12.90526316,21.09473684,1.163157895,1.552631579,2.710526316,0.064473684,-1.615789474,-0.236842105,-1.873684211,0.378947368
2003,2,DET,Darko Milicic,Top 3,2545,Big,69.18181818,39.09090909,22.46363636,3.136363636,6.636363636,0.468545455,0.136363636,0.381818182,0.079363636,3,6.245454545,0.473545455,0.475909091,1.872727273,0.674272727,2.718181818,1.981818182,4.109090909,6.1,0.927272727,0.481818182,1.045454545,1.327272727,2.436363636,8.309090909,14.04545455,0.042727273,0.519545455,0.448909091,9.936363636,21.24545455,15.57272727,6.472727273,1.209090909,3.909090909,15.34545455,18.57272727,1.554545455,1.990909091,3.545454545,0.083545455,-2.536363636,1.027272727,-1.5,0.672727273
2003,3,DEN,Carmelo Anthony,Top 3,2546,Forward,70.26315789,36.47368421,25.66315789,4.315789474,9.589473684,0.447421053,0.305263158,1.042105263,0.197631579,4.010526316,8.552631579,0.464789474,0.463315789,2.205263158,0.704842105,3.042105263,1.589473684,3.5,5.078947368,1.515789474,0.726315789,0.8,1.621052632,2.231578947,11.14210526,14.16315789,0.113315789,0.503210526,0.316105263,7.352631579,15.95789474,11.62105263,9.105263158,1.489473684,2.257894737,12.90526316,21.09473684,1.163157895,1.552631579,2.710526316,0.064473684,-1.615789474,-0.236842105,-1.873684211,0.378947368
2003,4,TOR,Chris Bosh,Lottery,2547,Big,52.89189189,16.7027027,14.64864865,1.937837838,4.132432432,0.464459459,0.018918919,0.064864865,0.07127027,1.918918919,4.054054054,0.467540541,0.466081081,1.051351351,0.611459459,1.610810811,1.351351351,2.410810811,3.754054054,0.513513514,0.356756757,0.691891892,0.913513514,2.056756757,4.959459459,11.71351351,0.012675676,0.500972973,0.424324324,10.28378378,18.36756757,14.25945946,5.205405405,1.202702703,3.791891892,16.94054054,17.1027027,0.418918919,1.024324324,1.435135135,0.058810811,-3.783783784,0.427027027,-3.356756757,-0.037837838
2003,5,MIA,Dwyane Wade,Lottery,2548,Guard,66,33.54237288,23.47457627,3.333898305,8.094915254,0.406067797,0.761016949,2.177966102,0.315440678,2.583050847,5.922033898,0.430864407,0.451474576,1.7,0.764745763,2.189830508,0.577966102,1.998305085,2.56440678,2.988135593,0.83220339,0.2,1.628813559,1.898305085,9.111864407,11.95084746,0.269152542,0.495779661,0.273016949,2.786440678,9.63220339,6.166101695,19.31694915,1.772881356,0.652542373,15.31016949,20.10338983,0.683050847,1.006779661,1.689830508,0.041694915,-1.144067797,-1.408474576,-2.559322034,0.171186441
2003,6,LAC,Chris Kaman,Lottery,2549,Big,52.89189189,16.7027027,14.64864865,1.937837838,4.132432432,0.464459459,0.018918919,0.064864865,0.07127027,1.918918919,4.054054054,0.467540541,0.466081081,1.051351351,0.611459459,1.610810811,1.351351351,2.410810811,3.754054054,0.513513514,0.356756757,0.691891892,0.913513514,2.056756757,4.959459459,11.71351351,0.012675676,0.500972973,0.424324324,10.28378378,18.36756757,14.25945946,5.205405405,1.202702703,3.791891892,16.94054054,17.1027027,0.418918919,1.024324324,1.435135135,0.058810811,-3.783783784,0.427027027,-3.356756757,-0.037837838
2003,7,CHI,Kirk Hinrich,Lottery,2550,Guard,66,33.54237288,23.47457627,3.333898305,8.094915254,0.406067797,0.761016949,2.177966102,0.315440678,2.583050847,5.922033898,0.430864407,0.451474576,1.7,0.764745763,2.189830508,0.577966102,1.998305085,2.56440678,2.988135593,0.83220339,0.2,1.628813559,1.898305085,9.111864407,11.95084746,0.269152542,0.495779661,0.273016949,2.786440678,9.63220339,6.166101695,19.31694915,1.772881356,0.652542373,15.31016949,20.10338983,0.683050847,1.006779661,1.689830508,0.041694915,-1.144067797,-1.408474576,-2.559322034,0.171186441
2003,8,MIL,T.J. Ford,Lottery,2551,Guard,66,33.54237288,23.47457627,3.333898305,8.094915254,0.406067797,0.761016949,2.177966102,0.315440678,2.583050847,5.922033898,0.430864407,0.451474576,1.7,0.764745763,2.189830508,0.577966102,1.998305085,2.56440678,2.988135593,0.83220339,0.2,1.628813559,1.898305085,9.111864407,11.95084746,0.269152542,0.495779661,0.273016949,2.786440678,9.63220339,6.166101695,19.31694915,1.772881356,0.652542373,15.31016949,20.10338983,0.683050847,1.006779661,1.689830508,0.041694915,-1.144067797,-1.408474576,-2.559322034,0.171186441
2003,9,NYK,Mike Sweetney,Lottery,2552,Big,52.89189189,16.7027027,14.64864865,1.937837838,4.132432432,0.464459459,0.018918919,0.064864865,0.07127027,1.918918919,4.054054054,0.467540541,0.466081081,1.051351351,0.611459459,1.610810811,1.351351351,2.410810811,3.754054054,0.513513514,0.356756757,0.691891892,0.913513514,2.056756757,4.959459459,11.71351351,0.012675676,0.500972973,0.424324324,10.28378378,18.36756757,14.25945946,5.205405405,1.202702703,3.791891892,16.94054054,17.1027027,0.418918919,1.024324324,1.435135135,0.058810811,-3.783783784,0.427027027,-3.356756757,-0.037837838
2003,10,WAS,Jarvis Hayes,Lottery,2553,Forward,59.45454545,22.14285714,19.19090909,2.728571429,6.206493506,0.434701299,0.325974026,0.994805195,0.23887013,2.406493506,5.211688312,0.454766234,0.461415584,1.3,0.69325974,1.855844156,1.206493506,2.488311688,3.68961039,0.981818182,0.590909091,0.462337662,1.074025974,1.893506494,7.072727273,11.94805195,0.165753247,0.496402597,0.296103896,6.932467532,14.71038961,10.77272727,7.985714286,1.562337662,1.820779221,13.35064935,18.92207792,0.572727273,1.092207792,1.65974026,0.050272727,-2.361038961,-0.387012987,-2.749350649,0.103896104
2003,11,GSW,Mickael Pietrus,Lottery,2554,Forward,59.45454545,22.14285714,19.19090909,2.728571429,6.206493506,0.434701299,0.325974026,0.994805195,0.23887013,2.406493506,5.211688312,0.454766234,0.461415584,1.3,0.69325974,1.855844156,1.206493506,2.488311688,3.68961039,0.981818182,0.590909091,0.462337662,1.074025974,1.893506494,7.072727273,11.94805195,0.165753247,0.496402597,0.296103896,6.932467532,14.71038961,10.77272727,7.985714286,1.562337662,1.820779221,13.35064935,18.92207792,0.572727273,1.092207792,1.65974026,0.050272727,-2.361038961,-0.387012987,-2.749350649,0.103896104
2003,12,SEA,Nick Collison,Lottery,2555,Forward,59.45454545,22.14285714,19.19090909,2.728571429,6.206493506,0.434701299,0.325974026,0.994805195,0.23887013,2.406493506,5.211688312,0.454766234,0.461415584,1.3,0.69325974,1.855844156,1.206493506,2.488311688,3.68961039,0.981818182,0.590909091,0.462337662,1.074025974,1.893506494,7.072727273,11.94805195,0.165753247,0.496402597,0.296103896,6.932467532,14.71038961,10.77272727,7.985714286,1.562337662,1.820779221,13.35064935,18.92207792,0.572727273,1.092207792,1.65974026,0.050272727,-2.361038961,-0.387012987,-2.749350649,0.103896104
2003,13,MEM,Marcus Banks,Lottery,2556,Guard,66,33.54237288,23.47457627,3.333898305,8.094915254,0.406067797,0.761016949,2.177966102,0.315440678,2.583050847,5.922033898,0.430864407,0.451474576,1.7,0.764745763,2.189830508,0.577966102,1.998305085,2.56440678,2.988135593,0.83220339,0.2,1.628813559,1.898305085,9.111864407,11.95084746,0.269152542,0.495779661,0.273016949,2.786440678,9.63220339,6.166101695,19.31694915,1.772881356,0.652542373,15.31016949,20.10338983,0.683050847,1.006779661,1.689830508,0.041694915,-1.144067797,-1.408474576,-2.559322034,0.171186441
2003,14,SEA,Luke Ridnour,Lottery,2557,Guard,66,33.54237288,23.47457627,3.333898305,8.094915254,0.406067797,0.761016949,2.177966102,0.315440678,2.583050847,5.922033898,0.430864407,0.451474576,1.7,0.764745763,2.189830508,0.577966102,1.998305085,2.56440678,2.988135593,0.83220339,0.2,1.628813559,1.898305085,9.111864407,11.95084746,0.269152542,0.495779661,0.273016949,2.786440678,9.63220339,6.166101695,19.31694915,1.772881356,0.652542373,15.31016949,20.10338983,0.683050847,1.006779661,1.689830508,0.041694915,-1.144067797,-1.408474576,-2.559322034,0.171186441
2003,15,ORL,Reece Gaines,Lottery,2558,Guard,66,33.54237288,23.47457627,3.333898305,8.094915254,0.406067797,0.761016949,2.177966102,0.315440678,2.583050847,5.922033898,0.430864407,0.451474576,1.7,0.764745763,2.189830508,0.577966102,1.998305085,2.56440678,2.988135593,0.83220339,0.2,1.628813559,1.898305085,9.111864407,11.95084746,0.269152542,0.495779661,0.273016949,2.786440678,9.63220339,6.166101695,19.31694915,1.772881356,0.652542373,15.31016949,20.10338983,0.683050847,1.006779661,1.689830508,0.041694915,-1.144067797,-1.408474576,-2.559322034,0.171186441
2003,16,BOS,Troy Bell,Late 1st round,2559,Guard,49.80645161,10.25806452,14.22365591,1.868817204,4.605376344,0.390903226,0.449462366,1.402150538,0.281225806,1.419354839,3.215053763,0.426774194,0.436655914,0.821505376,0.741053763,1.095698925,0.407526882,1.215053763,1.621505376,1.555913978,0.539784946,0.111827957,0.977419355,1.33655914,5.007526882,9.923655914,0.296322581,0.47572043,0.248548387,3.538709677,9.687096774,6.617204301,16.62903226,1.91827957,0.703225806,16.34408602,19.80322581,0.129032258,0.688172043,0.809677419,0.020569892,-2.610752688,-1.231182796,-3.84516129,-0.093548387
2003,17,PHO,Zarko Cabarkapa,Late 1st round,2560,Forward,49.375,11.81944444,13.39861111,1.786111111,4.077777778,0.435291667,0.2125,0.690277778,0.186486111,1.580555556,3.391666667,0.459694444,0.459708333,0.723611111,0.640763889,1.069444444,0.870833333,1.794444444,2.670833333,0.626388889,0.405555556,0.356944444,0.6625,1.475,4.508333333,11.3,0.163680556,0.487416667,0.271847222,7.75,15.12638889,11.43611111,7.304166667,1.608333333,1.833333333,13.20833333,18.46944444,0.388888889,0.745833333,1.127777778,0.049083333,-3.029166667,-0.638888889,-3.663888889,-0.011111111
2003,18,NOH,David West,Late 1st round,2561,Forward,49.375,11.81944444,13.39861111,1.786111111,4.077777778,0.435291667,0.2125,0.690277778,0.186486111,1.580555556,3.391666667,0.459694444,0.459708333,0.723611111,0.640763889,1.069444444,0.870833333,1.794444444,2.670833333,0.626388889,0.405555556,0.356944444,0.6625,1.475,4.508333333,11.3,0.163680556,0.487416667,0.271847222,7.75,15.12638889,11.43611111,7.304166667,1.608333333,1.833333333,13.20833333,18.46944444,0.388888889,0.745833333,1.127777778,0.049083333,-3.029166667,-0.638888889,-3.663888889,-0.011111111
2003,19,UTA,Sasha Pavlovic,Late 1st round,2562,Guard,49.80645161,10.25806452,14.22365591,1.868817204,4.605376344,0.390903226,0.449462366,1.402150538,0.281225806,1.419354839,3.215053763,0.426774194,0.436655914,0.821505376,0.741053763,1.095698925,0.407526882,1.215053763,1.621505376,1.555913978,0.539784946,0.111827957,0.977419355,1.33655914,5.007526882,9.923655914,0.296322581,0.47572043,0.248548387,3.538709677,9.687096774,6.617204301,16.62903226,1.91827957,0.703225806,16.34408602,19.80322581,0.129032258,0.688172043,0.809677419,0.020569892,-2.610752688,-1.231182796,-3.84516129,-0.093548387
2003,20,BOS,Dahntay Jones,Late 1st round,2563,Forward,49.375,11.81944444,13.39861111,1.786111111,4.077777778,0.435291667,0.2125,0.690277778,0.186486111,1.580555556,3.391666667,0.459694444,0.459708333,0.723611111,0.640763889,1.069444444,0.870833333,1.794444444,2.670833333,0.626388889,0.405555556,0.356944444,0.6625,1.475,4.508333333,11.3,0.163680556,0.487416667,0.271847222,7.75,15.12638889,11.43611111,7.304166667,1.608333333,1.833333333,13.20833333,18.46944444,0.388888889,0.745833333,1.127777778,0.049083333,-3.029166667,-0.638888889,-3.663888889,-0.011111111
2003,21,ATL,Boris Diaw,Late 1st round,2564,Forward,49.375,11.81944444,13.39861111,1.786111111,4.077777778,0.435291667,0.2125,0.690277778,0.186486111,1.580555556,3.391666667,0.459694444,0.459708333,0.723611111,0.640763889,1.069444444,0.870833333,1.794444444,2.670833333,0.626388889,0.405555556,0.356944444,0.6625,1.475,4.508333333,11.3,0.163680556,0.487416667,0.271847222,7.75,15.12638889,11.43611111,7.304166667,1.608333333,1.833333333,13.20833333,18.46944444,0.388888889,0.745833333,1.127777778,0.049083333,-3.029166667,-0.638888889,-3.663888889,-0.011111111
2003,22,NJN,Zoran Planinic,Late 1st round,2565,Guard,49.80645161,10.25806452,14.22365591,1.868817204,4.605376344,0.390903226,0.449462366,1.402150538,0.281225806,1.419354839,3.215053763,0.426774194,0.436655914,0.821505376,0.741053763,1.095698925,0.407526882,1.215053763,1.621505376,1.555913978,0.539784946,0.111827957,0.977419355,1.33655914,5.007526882,9.923655914,0.296322581,0.47572043,0.248548387,3.538709677,9.687096774,6.617204301,16.62903226,1.91827957,0.703225806,16.34408602,19.80322581,0.129032258,0.688172043,0.809677419,0.020569892,-2.610752688,-1.231182796,-3.84516129,-0.093548387
2003,23,POR,Travis Outlaw,Late 1st round,2566,Forward,49.375,11.81944444,13.39861111,1.786111111,4.077777778,0.435291667,0.2125,0.690277778,0.186486111,1.580555556,3.391666667,0.459694444,0.459708333,0.723611111,0.640763889,1.069444444,0.870833333,1.794444444,2.670833333,0.626388889,0.405555556,0.356944444,0.6625,1.475,4.508333333,11.3,0.163680556,0.487416667,0.271847222,7.75,15.12638889,11.43611111,7.304166667,1.608333333,1.833333333,13.20833333,18.46944444,0.388888889,0.745833333,1.127777778,0.049083333,-3.029166667,-0.638888889,-3.663888889,-0.011111111
2003,24,LAL,Brian Cook,Late 1st round,2567,Forward,49.375,11.81944444,13.39861111,1.786111111,4.077777778,0.435291667,0.2125,0.690277778,0.186486111,1.580555556,3.391666667,0.459694444,0.459708333,0.723611111,0.640763889,1.069444444,0.870833333,1.794444444,2.670833333,0.626388889,0.405555556,0.356944444,0.6625,1.475,4.508333333,11.3,0.163680556,0.487416667,0.271847222,7.75,15.12638889,11.43611111,7.304166667,1.608333333,1.833333333,13.20833333,18.46944444,0.388888889,0.745833333,1.127777778,0.049083333,-3.029166667,-0.638888889,-3.663888889,-0.011111111
2003,25,DET,Carlos Delfino,Late 1st round,2568,Forward,49.375,11.81944444,13.39861111,1.786111111,4.077777778,0.435291667,0.2125,0.690277778,0.186486111,1.580555556,3.391666667,0.459694444,0.459708333,0.723611111,0.640763889,1.069444444,0.870833333,1.794444444,2.670833333,0.626388889,0.405555556,0.356944444,0.6625,1.475,4.508333333,11.3,0.163680556,0.487416667,0.271847222,7.75,15.12638889,11.43611111,7.304166667,1.608333333,1.833333333,13.20833333,18.46944444,0.388888889,0.745833333,1.127777778,0.049083333,-3.029166667,-0.638888889,-3.663888889,-0.011111111
2003,26,MIN,Ndudi Ebi,Late 1st round,2569,Guard,49.80645161,10.25806452,14.22365591,1.868817204,4.605376344,0.390903226,0.449462366,1.402150538,0.281225806,1.419354839,3.215053763,0.426774194,0.436655914,0.821505376,0.741053763,1.095698925,0.407526882,1.215053763,1.621505376,1.555913978,0.539784946,0.111827957,0.977419355,1.33655914,5.007526882,9.923655914,0.296322581,0.47572043,0.248548387,3.538709677,9.687096774,6.617204301,16.62903226,1.91827957,0.703225806,16.34408602,19.80322581,0.129032258,0.688172043,0.809677419,0.020569892,-2.610752688,-1.231182796,-3.84516129,-0.093548387
2003,27,MEM,Kendrick Perkins,Late 1st round,2570,Big,48.3030303,11.54545455,12.21818182,1.539393939,3.263636364,0.445151515,0.006060606,0.024242424,0.095787879,1.533333333,3.23030303,0.447030303,0.445727273,0.809090909,0.592818182,1.321212121,1.157575758,1.957575758,3.133333333,0.372727273,0.296969697,0.660606061,0.684848485,1.845454545,3.893939394,11.15151515,0.006666667,0.492818182,0.410757576,10.81818182,18.88181818,14.83333333,4.681818182,1.193939394,3.881818182,16.88181818,17.47878788,0.375757576,0.881818182,1.254545455,0.058151515,-4.412121212,0.366666667,-4.060606061,0.003030303
2003,28,SAS,Leandro Barbosa,Late 1st round,2571,Guard,49.80645161,10.25806452,14.22365591,1.868817204,4.605376344,0.390903226,0.449462366,1.402150538,0.281225806,1.419354839,3.215053763,0.426774194,0.436655914,0.821505376,0.741053763,1.095698925,0.407526882,1.215053763,1.621505376,1.555913978,0.539784946,0.111827957,0.977419355,1.33655914,5.007526882,9.923655914,0.296322581,0.47572043,0.248548387,3.538709677,9.687096774,6.617204301,16.62903226,1.91827957,0.703225806,16.34408602,19.80322581,0.129032258,0.688172043,0.809677419,0.020569892,-2.610752688,-1.231182796,-3.84516129,-0.093548387
2003,29,DAL,Josh Howard,Late 1st round,2572,Forward,49.375,11.81944444,13.39861111,1.786111111,4.077777778,0.435291667,0.2125,0.690277778,0.186486111,1.580555556,3.391666667,0.459694444,0.459708333,0.723611111,0.640763889,1.069444444,0.870833333,1.794444444,2.670833333,0.626388889,0.405555556,0.356944444,0.6625,1.475,4.508333333,11.3,0.163680556,0.487416667,0.271847222,7.75,15.12638889,11.43611111,7.304166667,1.608333333,1.833333333,13.20833333,18.46944444,0.388888889,0.745833333,1.127777778,0.049083333,-3.029166667,-0.638888889,-3.663888889,-0.011111111
2003,30,NYK,Maciej Lampe,Late 1st round,2573,Big,48.3030303,11.54545455,12.21818182,1.539393939,3.263636364,0.445151515,0.006060606,0.024242424,0.095787879,1.533333333,3.23030303,0.447030303,0.445727273,0.809090909,0.592818182,1.321212121,1.157575758,1.957575758,3.133333333,0.372727273,0.296969697,0.660606061,0.684848485,1.845454545,3.893939394,11.15151515,0.006666667,0.492818182,0.410757576,10.81818182,18.88181818,14.83333333,4.681818182,1.193939394,3.881818182,16.88181818,17.47878788,0.375757576,0.881818182,1.254545455,0.058151515,-4.412121212,0.366666667,-4.060606061,0.003030303
